timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:58:53.025,1,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.177,2,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.250,3,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.306,4,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.378,5,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.443,6,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.503,7,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.562,8,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.633,9,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.716,10,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.773,11,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.828,12,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.892,13,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:53.986,14,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.054,15,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.266,16,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.342,17,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.412,18,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.476,19,MOTION DETECTED,Background Subtraction (KNN),1,1
2026-07-09 09:58:54.524,20,MOTION DETECTED,Background Subtraction (KNN),4,4
2026-07-09 09:58:54.593,21,MOTION DETECTED,Background Subtraction (KNN),303,303
2026-07-09 09:58:54.643,22,MOTION DETECTED,Background Subtraction (KNN),58,58
2026-07-09 09:58:54.712,23,MOTION DETECTED,Background Subtraction (KNN),33,33
