timestamp,frame_number,status,method,contour_count,person_count
2026-07-09 09:46:26.998,1,NO MOTION,Background Subtraction (MOG2),0,0
2026-07-09 09:46:27.096,2,NO MOTION,Background Subtraction (MOG2),0,0
2026-07-09 09:46:27.160,3,MOTION DETECTED,Background Subtraction (MOG2),10,10
2026-07-09 09:46:27.232,4,MOTION DETECTED,Background Subtraction (MOG2),21,21
2026-07-09 09:46:27.298,5,MOTION DETECTED,Background Subtraction (MOG2),19,19
2026-07-09 09:46:27.365,6,MOTION DETECTED,Background Subtraction (MOG2),21,21
2026-07-09 09:46:27.424,7,MOTION DETECTED,Background Subtraction (MOG2),25,25
2026-07-09 09:46:27.484,8,MOTION DETECTED,Background Subtraction (MOG2),23,23
2026-07-09 09:46:27.531,9,MOTION DETECTED,Background Subtraction (MOG2),28,28
2026-07-09 09:46:27.589,10,MOTION DETECTED,Background Subtraction (MOG2),30,30
2026-07-09 09:46:27.656,11,MOTION DETECTED,Background Subtraction (MOG2),33,33
2026-07-09 09:46:27.857,12,MOTION DETECTED,Background Subtraction (MOG2),38,38
2026-07-09 09:46:27.936,13,MOTION DETECTED,Background Subtraction (MOG2),40,40
2026-07-09 09:46:27.995,14,MOTION DETECTED,Background Subtraction (MOG2),39,39
2026-07-09 09:46:28.089,15,MOTION DETECTED,Background Subtraction (MOG2),43,43
2026-07-09 09:46:28.147,16,MOTION DETECTED,Background Subtraction (MOG2),39,39
2026-07-09 09:46:28.194,17,MOTION DETECTED,Background Subtraction (MOG2),37,37
2026-07-09 09:46:28.242,18,MOTION DETECTED,Background Subtraction (MOG2),30,30
2026-07-09 09:46:28.335,19,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:28.391,20,MOTION DETECTED,Background Subtraction (MOG2),30,30
2026-07-09 09:46:28.451,21,MOTION DETECTED,Background Subtraction (MOG2),32,32
2026-07-09 09:46:28.498,22,MOTION DETECTED,Background Subtraction (MOG2),36,36
2026-07-09 09:46:28.545,23,MOTION DETECTED,Background Subtraction (MOG2),37,37
2026-07-09 09:46:28.592,24,MOTION DETECTED,Background Subtraction (MOG2),34,34
2026-07-09 09:46:28.630,25,MOTION DETECTED,Background Subtraction (MOG2),34,34
2026-07-09 09:46:28.691,26,MOTION DETECTED,Background Subtraction (MOG2),36,36
